"Fix: Unknown Value Displaying Under Game Title on Reviews Feed","An unknown/unexpected value is populating underneath the game title on the reviews feed page. Identify what data field is being pulled and either correct the binding or remove it if unintentional."
"Track Metrics -> A/B Test: Generic Home Screen vs Personalized Welcome Back Feed","A/B Test Name: Generic Home Screen vs Personalized ""Welcome Back"" Feed User Story Number: US5 (Additional Feature) Metrics: Retention — 7-day / 30-day retention rate
Hypothesis: Users who return to a generic home screen with no personalized content have little immediate reason to re-engage with the app. This lack of a hook at the entry point is likely contributing to low return rates. We hypothesize that showing returning users a personalized feed of recent friend activity and games they have logged will give them a reason to keep coming back, increasing both 7-day and 30-day retention rates.
Experiment: We will split returning users 50/50 — half will see the standard default home screen, half will see a personalized ""Welcome Back"" feed. Firebase Analytics session events will track whether users in each group return within 7 and 30 days of their last session. We will compare retention rates between the two variants to determine if the personalized feed has a meaningful impact on return behavior.
Variations:
Variant A (control): Default home screen shown to all returning users
Variant B (test): Personalized ""Welcome Back"" feed showing recent friend activity and the user's recently logged games
"
"A/B Adoption: A/B Test: Sign Up/Sign In on 1 Screen or 2 Screens","A/B Test Name: Sign Up/Sign In on 1 Screen or 2 Screens
User Story Number: US3 (Sign Up / Sign In)
Metrics: Adoption, adoption rate (new signups)
Hypothesis: New users who encounter separate sign up and sign in screens may abandon the flow if they land on the wrong screen and have to navigate to find the right one. This friction at the entry point of the app directly reduces our adoption rate. We hypothesize that combining sign up and sign in onto a single screen with a simple toggle will reduce drop-off during account creation and increase the number of users who successfully complete signup.
Experiment: We will split new users 50/50 — half will see the current two-screen flow (separate sign up and sign in pages), half will see a single combined screen with a toggle between the two flows. Firebase Authentication will track signup completion events. Firebase Analytics will log a signup_screen_viewed event and a signup_completed event per variant so we can compare drop-off rates between the two groups.
Variations:

Variant A (control): Separate sign up and sign in screens — user must navigate between two distinct pages
Variant B (test): Single combined screen with a toggle button to switch between sign up and sign in fields"
"Feature: See All Reviews Functionality","Add a ""See All Reviews"" button or navigation path on the reviews feed so users can view the full list of reviews for a game. Should navigate to a filtered view showing all reviews for the selected game"
"Set up Emulator / Android Device",""
"Add In Test Mob Adds Banner","First, read and watch the videos in: [How Do You Monetize A Mobile Application](https://blog.flutterflow.io/how-do-mobile-apps-make-money/)

Here is a deeper dive into how you can integrate Google's Admob advertising. Revenue Cat In-App Purchases, and Stripe payments into your app in FlutterFlow.

Google Admob in FlutterFlow

This video is an older version of FlutterFlow. For the current documentation, read: [Admob With FlutterFlow](https://docs.flutterflow.io/integrations/ads/admob/)

****
Business Idea with Test Mob Adds:

- Implement Ads from a small but noticeable banner at the bottom of the screen when viewing another user's profile
- Hope would be to specialize in Video Games or tech related adds(we know this is not currently possible)"
"Screenshots game info page",""
"Wiki: Architecture (Section B)","Create the Architecture page on the GitHub Wiki. Include an architecture diagram showing frontend/backend interaction, overview of frontend structure and major FlutterFlow components, and backend architecture including Firebase, Firestore, and Cloud Functions."
"Wiki: Overview Page (Section A)","reate the Overview page on the GitHub Wiki following the 305Soft outline. Include project name, purpose, high-level goals, brief description, main features, and technologies used (Dart/Flutter, FlutterFlow, Firebase, Firestore, IGDB API)."
"Wiki: Initial Setup — Create GitHub Wiki and Navigation Structure","Set up the GitHub Wiki on the repo, create the home page with links to all sections (A-G), and establish the page structure before other team members start adding content."
"User Docs: Deploy User Guide Website","Deploy the completed user guide to a public website (Google Sites, Wix, or FlutterFlow web embed). Ensure all pages are accessible, screenshots are clear, and the site is shareable via public link for submission."
